# t_end M seed recall_count coarse_size
6 600 0 29 2752
6 600 1 33 2696
6 600 2 34 3488
6 600 3 32 3328
6 600 4 32 2984
8 800 0 28 1200
8 800 1 30 944
8 800 2 25 584
8 800 3 27 400
8 800 4 26 1036
10 1000 0 29 1196
10 1000 1 27 256
10 1000 2 27 656
10 1000 3 27 504
10 1000 4 28 948
13 1300 0 27 420
13 1300 1 27 632
13 1300 2 28 288
13 1300 3 27 312
13 1300 4 27 352
16 1600 0 28 448
16 1600 1 27 136
16 1600 2 27 120
16 1600 3 27 200
16 1600 4 27 200
20 2000 0 29 136
20 2000 1 29 88
20 2000 2 27 80
20 2000 3 28 128
20 2000 4 29 104
24 2400 0 36 144
24 2400 1 36 144
24 2400 2 36 144
24 2400 3 36 144
24 2400 4 36 144
30 3000 0 36 144
30 3000 1 36 144
30 3000 2 36 144
30 3000 3 36 144
30 3000 4 36 144
