# M D tt flat diff reduced
500 4 0.81989 0.0492651 -0.770624 64
1000 4 1.04245 0.0948322 -0.947621 64
2000 4 1.42479 0.151858 -1.27293 64
3000 4 1.72312 0.202794 -1.52032 64
5000 4 2.43977 0.267393 -2.17238 64
500 5 3.32655 0.394692 -2.93185 80
1000 5 4.70421 0.5242 -4.18001 80
2000 5 6.21112 0.687224 -5.52389 80
3000 5 8.66229 0.940149 -7.72214 80
5000 5 12.5134 1.37446 -11.1389 80
500 6 16.8078 1.59057 -15.2172 2190
1000 6 34.6552 3.37518 -31.28 2190
2000 6 48.6006 5.08893 -43.5117 1462
3000 6 59.4089 6.14622 -53.2627 2190
5000 6 77.031 8.7287 -68.3023 2918
3000 7 2264.55 288.731 -1975.81 8751
