# mean(cols 1..12) then sd(cols 13..24) over 5 trials
# D  t_TT16 t_TT10 t_flat recall_TT16 recall_TT10 recall_flat spur_TT16 spur_TT10 spur_flat cerr_TT16 cerr_TT10 cerr_flat  t_TT16_sd t_TT10_sd t_flat_sd recall_TT16_sd recall_TT10_sd recall_flat_sd spur_TT16_sd spur_TT10_sd spur_flat_sd cerr_TT16_sd cerr_TT10_sd cerr_flat_sd
4 0.056262 0.0441942 0.0416528 50 50 100 1 1 0.15 98.9998 98.9998 0.0333439 0.0206951 0.00355737 0.00179716 0 0 0 0 0 0.3 0.00733273 0.00733273 4.36748e-07
5 0.0828949 0.087347 0.0462903 80 80 100 0.28 0.28 0 28.4068 28.4068 0.0333444 0.00624735 0.00418077 0.00333115 4.47214 4.47214 0 0.203961 0.203961 0 6.68706 6.68706 9.08855e-08
6 0.176728 0.149443 0.114128 100 100 100 0 0 0 0.0333448 0.0333448 0.0333448 0.0321853 0.00765204 0.00536075 0 0 0 0 0 0 9.46651e-08 9.46651e-08 9.46651e-08
7 0.272652 0.261597 0.422492 100 100 100 0 0 0 0.0333445 0.0333445 0.0333445 0.0114092 0.0126706 0.0293552 0 0 0 0 0 0 4.91973e-08 4.91973e-08 4.91973e-08
8 0.703608 0.781578 2.20849 100 100 100 0 0 0 0.0333445 0.0333445 0.0333445 0.041212 0.10011 0.136789 0 0 0 0 0 0 5.4883e-08 5.4883e-08 5.48829e-08
9 2.64236 2.5972 14.0768 100 100 100 0 0 95.4889 0.0333445 0.0333445 0.0333448 0.490756 0.641291 3.16735 0 0 0 0 0 34.8604 2.51216e-08 2.51216e-08 7.03281e-07
10 8.79417 7.52762 53.3719 76.5 72 100 0.48 1.46 1019.08 32.9098 44.5546 23.5938 0.515025 0.250091 2.30526 1.22474 2.91548 0 0.193907 0.739189 0.172047 2.39791 7.03326 4.31255
11 21.8765 18.6573 523.965 73.1818 72.7273 100 2.32727 3.05455 2041.73 44.0243 45.9364 41.0307 0.409427 0.653802 8.54265 1.70075 2.48965 0 0.67199 2.13015 0.613889 7.05963 6.13761 5.53095
12 89.0834 47.5822 1844.64 63.3333 66.25 100 6.73333 7.61667 4083.78 53.7931 52.3417 98.1931 2.72667 2.18329 13.9142 7.75045 4.82327 0 1.43604 1.33083 0.830997 11.6291 6.83291 0.909405
13 391.007 171.984 1638.34 38.8462 41.1538 99.6154 423.831 556.677 8156 85.5246 85.4351 99.5445 82.9757 39.6188 144.609 12.0035 8.39132 0.769231 330.515 203.338 2.82633 9.29476 5.22425 0.504856
